"country","code","year","life_exp","hc_exp","gni_percap","tb_per100K"
"Zambia","ZMB","2013",59.24,87.83,3580,437
"Zambia","ZMB","2014",60.05,85.85,3670,406
"Zimbabwe","ZWE","2000",41.69,37.52,1890,605
"Zimbabwe","ZWE","2001",41,33.11,1960,617
"Zimbabwe","ZWE","2002",40.68,32.64,1810,617
"Zimbabwe","ZWE","2003",40.7,29.21,1530,617
"Zimbabwe","ZWE","2004",41.06,32.17,1450,607
"Zimbabwe","ZWE","2005",41.76,28.53,1400,588
"Zimbabwe","ZWE","2006",42.81,21.25,1370,561
"Zimbabwe","ZWE","2007",44.18,17.8,1320,527
"Zimbabwe","ZWE","2008",45.8,16.21,1050,487
"Zimbabwe","ZWE","2009",47.62,37.21,1190,450
"Zimbabwe","ZWE","2010",49.57,36.36,1280,416
"Zimbabwe","ZWE","2011",51.6,48.47,1400,384
"Zimbabwe","ZWE","2012",53.64,57.25,1550,355
"Zimbabwe","ZWE","2013",55.63,62.31,1610,304
"Zimbabwe","ZWE","2014",57.5,57.71,1660,278
